Word_ID	Dialog ID	pword_id
5307	12	5366
5307	16	5366
5307	17	5366
5307	18	5366
5307	19	5366
5307	25	5366
5307	26	5366
5307	28	5366
5307	30	5366
5307	31	5366
5307	32	5366
5307	33	5366
5307	36	5366
5308	12	5367
5308	16	5367
5308	17	5367
5308	19	5367
5308	26	5367
5308	27	5367
5308	30	5367
5308	32	5367
5308	36	5367
5309	6	5368
5310	17	5369
5310	33	5369
5311	7	5370
5311	11	5370
5311	12	5370
5311	17	5370
5311	20	5370
5311	21	5370
5311	22	5370
5311	26	5370
5311	29	5370
5311	30	5370
5311	32	5370
5312	12	5371
5312	17	5371
5312	30	5371
5312	33	5371
5313	12	5372
5314	1	5373
5314	12	5373
5314	19	5373
5314	30	5373
5315	12	5374
5315	17	5374
5315	31	5374
5316	12	5375
5316	27	5375
5316	30	5375
5317	3	5376
5317	17	5376
5317	29	5376
5317	30	5376
5318	12	5377
5318	20	5377
5319	31	5378
5320	27	5379
5321	17	5380
5321	27	5380
5321	36	5380
5322	32	5381
5323	32	5382
5324	6	5383
5325	32	5384
5326	3	5385
5326	10	5385
5326	17	5385
5326	29	5385
5326	30	5385
5327	10	5386
5327	17	5386
5327	19	5386
5327	34	5386
5328	16	5387
5328	29	5387
5329	29	5388
5330	31	5389
5331	10	5390
5332	12	5391
5332	26	5391
5332	30	5391
5333	26	5392
5333	30	5392
5334	12	5393
5334	26	5393
5334	30	5393
5335	12	5394
5335	30	5394
5336	1	5396
5336	4	5396
5336	6	5396
5336	10	5396
5336	12	5396
5336	16	5396
5336	17	5396
5336	21	5396
5336	25	5396
5336	30	5396
5336	31	5396
5336	32	5396
5336	33	5396
5336	34	5396
5337	1	5395
5337	4	5395
5337	6	5395
5337	10	5395
5337	12	5395
5337	16	5395
5337	17	5395
5337	21	5395
5337	25	5395
5337	30	5395
5337	31	5395
5337	32	5395
5337	33	5395
5337	34	5395
5338	7	5397
5338	8	5397
5338	14	5397
5338	17	5397
5338	19	5397
5338	22	5397
5338	25	5397
5338	26	5397
5338	27	5397
5338	30	5397
5338	32	5397
5339	12	5398
5340	26	5399
5341	6	5400
5341	16	5400
5341	27	5400
5341	28	5400
5341	30	5400
5342	5	5401
5342	6	5401
5342	11	5401
5342	12	5401
5342	13	5401
5342	17	5401
5342	19	5401
5342	21	5401
5342	26	5401
5342	27	5401
5342	28	5401
5342	30	5401
5342	31	5401
5342	32	5401
5342	33	5401
5342	34	5401
5343	10	5402
5343	22	5402
5344	36	5403
5345	36	5404
5346	36	5405
5347	17	5406
5347	29	5406
5347	30	5406
5347	36	5406
5348	30	5407
5348	34	5407
5349	29	5408
5349	30	5408
5349	34	5408
5350	34	5409
5351	34	5410
5352	15	5411
5352	26	5411
5352	30	5411
5352	36	5411
5353	7	5412
5353	17	5412
5353	27	5412
5353	30	5412
5354	1	5413
5354	7	5413
5354	17	5413
5354	27	5413
5354	30	5413
5355	19	5414
5355	22	5414
5355	30	5414
5356	10	5415
5356	19	5415
5356	22	5415
5356	34	5415
5356	35	5415
5357	7	5416
5357	17	5416
5357	30	5416
5358	34	5417
5359	6	5418
5359	17	5418
5359	27	5418
5360	12	5419
5361	8	5420
5361	15	5420
5361	33	5420
5362	10	5421
5362	17	5421
5363	10	5423
5364	10	5422
5365	7	5424
5365	17	5424
5366	34	5425
5367	34	5426
5368	26	5427
5368	36	5427
5369	6	5428
5369	7	5428
5369	10	5428
5369	17	5428
5369	26	5428
5369	36	5428
5370	1	5429
5371	3	5430
5371	18	5430
5372	12	5431
5372	30	5431
5373	2	5432
5373	3	5432
5373	6	5432
5373	7	5432
5373	12	5432
5373	13	5432
5373	15	5432
5373	16	5432
5373	17	5432
5373	19	5432
5373	21	5432
5373	22	5432
5373	26	5432
5373	27	5432
5373	28	5432
5373	29	5432
5373	30	5432
5373	32	5432
5373	33	5432
5373	36	5432
5374	7	5433
5374	12	5433
5374	17	5433
5375	31	5434
5375	32	5434
5376	6	5435
5376	12	5435
5376	17	5435
5376	30	5435
5376	32	5435
5376	33	5435
5377	4	5436
5377	6	5436
5377	7	5436
5377	8	5436
5377	12	5436
5377	17	5436
5377	19	5436
5377	22	5436
5377	23	5436
5377	26	5436
5377	27	5436
5377	29	5436
5377	30	5436
5377	31	5436
5377	32	5436
5377	33	5436
5377	34	5436
5378	1	5437
5378	12	5437
5378	17	5437
5378	32	5437
5379	1	5438
5379	7	5438
5379	9	5438
5379	12	5438
5379	17	5438
5379	19	5438
5379	21	5438
5379	22	5438
5379	26	5438
5379	27	5438
5379	28	5438
5379	29	5438
5379	30	5438
5379	32	5438
5379	33	5438
5379	36	5438
5380	21	5439
5381	21	5440
5381	33	5440
5382	30	5441
5382	32	5441
5383	30	5442
5383	32	5442
5384	36	5443
5385	27	5444
5386	4	5445
5386	6	5445
5386	11	5445
5386	15	5445
5386	17	5445
5386	22	5445
5386	24	5445
5386	28	5445
5386	30	5445
5386	34	5445
5386	36	5445
5387	17	5446
5387	36	5446
5388	26	5447
5388	30	5447
5389	7	5448
5389	10	5448
5389	17	5448
5389	18	5448
5389	26	5448
5389	28	5448
5389	32	5448
5389	33	5448
5390	33	5449
5391	16	5450
5391	23	5450
5392	10	5451
5392	33	5451
5393	10	5452
5393	33	5452
5394	17	5453
5394	19	5453
5394	27	5453
5394	30	5453
5394	33	5453
5395	17	5454
5395	26	5454
5395	28	5454
5395	30	5454
5395	32	5454
5395	33	5454
5395	34	5454
5395	36	5454
5396	27	5455
5397	36	5456
